ID,ID_DET_DEMONSTRATIVO_REFERENCIA,PADRAO_CTACTB,SINAL
45553,5,2.1.01.02.000863,-1
45554,5,2.1.01.02.000886,-1
45555,5,2.1.01.02.000403,-1
45556,5,2.1.01.02.000155,-1
45557,5,2.1.01.02.000324,-1
45558,5,2.1.01.02.001083,-1
45559,5,2.1.01.02.000887,-1
45560,5,2.1.01.02.001109,-1
45561,5,2.1.01.02.001022,-1
45562,5,2.1.01.02.001002,-1
45563,5,2.1.01.02.000102,-1
45564,5,2.1.01.02.000375,-1
45565,5,2.1.01.02.000194,-1
45566,5,2.1.01.02.001181,-1
45567,5,2.1.01.02.000997,-1
45568,5,2.1.01.02.001336,-1
45569,5,2.1.01.02.000274,-1
45570,5,2.1.01.02.001271,-1
45571,5,2.1.01.02.001612,-1
45572,5,2.1.01.02.000004,-1
45573,5,2.1.01.02.000666,-1
45574,5,2.1.01.02.001340,-1
45575,5,2.1.01.02.000812,-1
45576,5,2.1.01.02.001354,-1
45577,5,2.1.01.02.000799,-1
45578,5,2.1.01.02.001135,-1
45579,5,2.1.01.02.000413,-1
45580,5,2.1.01.02.001266,-1
45581,5,2.1.01.02.000390,-1
45582,5,2.1.01.02.001390,-1
45583,5,2.1.01.02.001297,-1
45584,5,2.1.01.02.001298,-1
45585,5,2.1.01.02.001327,-1
45586,5,2.1.01.02.001400,-1
45587,5,2.1.01.02.000736,-1
45588,5,2.1.01.02.001455,-1
45589,5,2.1.01.02.001453,-1
45590,5,2.1.01.02.001255,-1
45591,5,2.1.01.02.001573,-1
45592,5,2.1.01.02.001584,-1
45593,5,2.1.01.02.001202,-1
45594,5,2.1.01.02.001170,-1
45595,5,2.1.01.02.001659,-1
45596,5,2.1.01.02.001671,-1
45597,5,2.1.01.02.001753,-1
45598,5,2.1.01.02.001113,-1
45599,5,2.1.01.02.001624,-1
45600,5,2.1.01.02.001882,-1
45601,5,2.1.01.02.001880,-1
45602,5,2.1.01.02.002080,-1
45603,5,2.1.01.02.001839,-1
45604,5,2.1.01.02.001309,-1
45605,5,2.1.01.02.001907,-1
45606,5,2.1.01.02.001721,-1
45607,5,2.1.01.02.001983,-1
45608,5,2.1.01.02.000329,-1
45609,5,2.1.01.02.001706,-1
45610,5,2.1.01.02.001784,-1
45611,5,2.1.01.02.001211,-1
45612,5,2.1.01.02.000412,-1
45613,5,2.1.01.02.001244,-1
45614,5,2.1.01.02.001759,-1
45615,5,2.1.01.02.001101,-1
45616,5,2.1.01.02.001799,-1
45617,5,2.1.01.02.001965,-1
45618,5,2.1.01.02.002044,-1
45619,5,2.1.01.02.002060,-1
45620,5,2.1.01.02.002084,-1
45621,5,2.1.01.02.000773,-1
45622,5,2.1.01.02.002005,-1
45623,5,2.1.01.02.002010,-1
45624,5,2.1.01.02.001329,-1
45625,5,2.1.01.02.001067,-1
45626,5,2.1.01.02.000942,-1
45627,5,2.1.01.02.000904,-1
45628,5,2.1.01.02.001011,-1
45629,5,2.1.01.02.000789,-1
45630,5,2.1.01.02.000968,-1
45631,5,2.1.01.02.000960,-1
45632,5,2.1.01.02.000730,-1
45633,5,2.1.01.02.000480,-1
45634,5,2.1.01.02.000575,-1
45635,5,2.1.01.02.000910,-1
45636,5,2.1.01.02.000908,-1
45637,5,2.1.01.02.000137,-1
45638,5,2.1.01.02.000925,-1
45639,5,2.1.01.02.000452,-1
45640,5,2.1.01.02.000027,-1
45641,5,2.1.01.02.000045,-1
45642,5,2.1.01.02.000776,-1
45643,5,2.1.01.02.001037,-1
45644,5,2.1.01.02.001012,-1
45645,5,2.1.01.02.001247,-1
45646,5,2.1.01.02.001256,-1
45647,5,2.1.01.02.000888,-1
45648,5,2.1.01.02.000794,-1
45649,5,2.1.01.02.001308,-1
45650,5,2.1.01.02.001307,-1
45651,5,2.1.01.02.000033,-1
45652,5,2.1.01.02.000987,-1
45653,5,2.1.01.02.000422,-1
45654,5,2.1.01.02.000981,-1
45655,5,2.1.01.02.001454,-1
45656,5,2.1.01.02.000751,-1
45657,5,2.1.01.02.001177,-1
45658,5,2.1.01.02.001110,-1
45659,5,2.1.01.02.001169,-1
45660,5,2.1.01.02.001598,-1
45661,5,2.1.01.02.001225,-1
45662,5,2.1.01.02.000263,-1
45663,5,2.1.01.02.001876,-1
45664,5,2.1.01.02.001914,-1
45665,5,2.1.01.02.000729,-1
45666,5,2.1.01.02.001646,-1
45667,5,2.1.01.02.001683,-1
45668,5,2.1.01.02.001725,-1
45669,5,2.1.01.02.001791,-1
45670,5,2.1.01.02.000214,-1
45671,5,2.1.01.02.001239,-1
45672,5,2.1.01.02.001306,-1
45673,5,2.1.01.02.001976,-1
45674,5,2.1.01.02.001404,-1
45675,5,2.1.01.02.000651,-1
45676,5,2.1.01.02.001959,-1
45677,5,2.1.01.02.001901,-1
45678,5,2.1.01.02.000409,-1
45679,5,2.1.01.02.001878,-1
45680,5,2.1.01.02.001148,-1
45681,5,2.1.01.02.001912,-1
45682,5,2.1.01.02.001786,-1
45683,5,2.1.01.02.001795,-1
45684,5,2.1.01.02.001946,-1
45685,5,2.1.01.02.001041,-1
45686,5,2.1.01.02.001838,-1
45687,5,2.1.01.02.000076,-1
45688,5,2.1.01.02.001905,-1
45689,5,2.1.01.02.002048,-1
45690,5,2.1.01.02.001600,-1
45691,5,2.1.01.02.000693,-1
45692,5,2.1.01.02.000983,-1
45693,5,2.1.01.02.000683,-1
45694,5,2.1.01.02.000684,-1
45695,5,2.1.01.02.000358,-1
45696,5,2.1.01.02.000089,-1
45697,5,2.1.01.02.000455,-1
45698,5,2.1.01.02.001363,-1
45699,5,2.1.01.02.000777,-1
45700,5,2.1.01.02.000752,-1
45701,5,2.1.01.02.001184,-1
45702,5,2.1.01.02.001141,-1
45703,5,2.1.01.02.001111,-1
45704,5,2.1.01.02.000145,-1
45705,5,2.1.01.02.000342,-1
45706,5,2.1.01.02.001058,-1
45707,5,2.1.01.02.001338,-1
45708,5,2.1.01.02.001360,-1
45709,5,2.1.01.02.000338,-1
45710,5,2.1.01.02.001286,-1
45711,5,2.1.01.02.001558,-1
45712,5,2.1.01.02.000052,-1
45713,5,2.1.01.02.001324,-1
45714,5,2.1.01.02.001132,-1
45715,5,2.1.01.02.001396,-1
45716,5,2.1.01.02.001236,-1
45717,5,2.1.01.02.000098,-1
45718,5,2.1.01.02.001334,-1
45719,5,2.1.01.02.001171,-1
45720,5,2.1.01.02.000940,-1
45721,5,2.1.01.02.001305,-1
45722,5,2.1.01.02.001418,-1
45723,5,2.1.01.02.001632,-1
45724,5,2.1.01.02.001144,-1
45725,5,2.1.01.02.001660,-1
45726,5,2.1.01.02.001739,-1
45727,5,2.1.01.02.000967,-1
45728,5,2.1.01.02.001855,-1
45729,5,2.1.01.02.001982,-1
45730,5,2.1.01.02.000001,-1
45731,5,2.1.01.02.001790,-1
45732,5,2.1.01.02.000928,-1
45733,5,2.1.01.02.001842,-1
45734,5,2.1.01.02.002019,-1
45735,5,2.1.01.02.000149,-1
45736,5,2.1.01.02.001925,-1
45737,5,2.1.01.02.001920,-1
45738,5,2.1.01.02.001794,-1
45739,5,2.1.01.02.001900,-1
45740,5,2.1.01.02.001372,-1
45741,5,2.1.01.02.001828,-1
45742,5,2.1.01.02.002114,-1
45743,5,2.1.01.02.001299,-1
45744,5,2.1.01.02.000922,-1
45745,5,2.1.01.02.000046,-1
45746,5,2.1.01.02.000104,-1
45747,5,2.1.01.02.000300,-1
45748,5,2.1.01.02.001040,-1
45749,5,2.1.01.02.000897,-1
45750,5,2.1.01.02.000955,-1
45751,5,2.1.01.02.000504,-1
45752,5,2.1.01.02.000923,-1
45753,5,2.1.01.02.000672,-1
45754,5,2.1.01.02.001065,-1
45755,5,2.1.01.02.000649,-1
45756,5,2.1.01.02.000797,-1
45757,5,2.1.01.02.000555,-1
45758,5,2.1.01.02.000906,-1
45759,5,2.1.01.02.000999,-1
45760,5,2.1.01.02.001183,-1
45761,5,2.1.01.02.001157,-1
45762,5,2.1.01.02.001328,-1
45763,5,2.1.01.02.001091,-1
45764,5,2.1.01.02.000793,-1
45765,5,2.1.01.02.000311,-1
45766,5,2.1.01.02.000938,-1
45767,5,2.1.01.02.001003,-1
45768,5,2.1.01.02.000901,-1
45769,5,2.1.01.02.001409,-1
45770,5,2.1.01.02.001200,-1
45771,5,2.1.01.02.001127,-1
45772,5,2.1.01.02.001652,-1
45773,5,2.1.01.02.001426,-1
45774,5,2.1.01.02.001586,-1
45775,5,2.1.01.02.001590,-1
45776,5,2.1.01.02.001638,-1
45777,5,2.1.01.02.001644,-1
45778,5,2.1.01.02.001421,-1
45779,5,2.1.01.02.000747,-1
45780,5,2.1.01.02.000435,-1
45781,5,2.1.01.02.001654,-1
45782,5,2.1.01.02.001475,-1
45783,5,2.1.01.02.001705,-1
45784,5,2.1.01.02.000003,-1
45785,5,2.1.01.02.001713,-1
45786,5,2.1.01.02.001755,-1
45787,5,2.1.01.02.001191,-1
45788,5,2.1.01.02.001833,-1
45789,5,2.1.01.02.000644,-1
45790,5,2.1.01.02.000231,-1
45791,5,2.1.01.02.001560,-1
45792,5,2.1.01.02.001591,-1
45793,5,2.1.01.02.001626,-1
45794,5,2.1.01.02.001825,-1
45795,5,2.1.01.02.001918,-1
45796,5,2.1.01.02.001952,-1
45797,5,2.1.01.02.001174,-1
45798,5,2.1.01.02.001979,-1
45799,5,2.1.01.02.001020,-1
45800,5,2.1.01.02.000405,-1
45801,5,2.1.01.02.000884,-1
45802,5,2.1.01.02.000072,-1
45803,5,2.1.01.02.000378,-1
45804,5,2.1.01.02.000697,-1
45805,5,2.1.01.02.001025,-1
45806,5,2.1.01.02.000457,-1
45807,5,2.1.01.02.000360,-1
45808,5,2.1.01.02.001381,-1
45809,5,2.1.01.02.001337,-1
45810,5,2.1.01.02.000974,-1
45811,5,2.1.01.02.001325,-1
45812,5,2.1.01.02.001393,-1
45813,5,2.1.01.02.001330,-1
45814,5,2.1.01.02.001664,-1
45815,5,2.1.01.02.001718,-1
45816,5,2.1.01.02.001224,-1
45817,5,2.1.01.02.001589,-1
45818,5,2.1.01.02.001879,-1
45819,5,2.1.01.02.000780,-1
45820,5,2.1.01.02.001088,-1
45821,5,2.1.01.02.001582,-1
45822,5,2.1.01.02.001764,-1
45823,5,2.1.01.02.001935,-1
45824,5,2.1.01.02.001996,-1
45825,5,2.1.01.02.002013,-1
45826,5,2.1.01.02.001964,-1
45827,5,2.1.01.02.001943,-1
45828,5,2.1.01.02.001881,-1
45829,5,2.1.01.02.002081,-1
45830,5,2.1.01.02.001877,-1
45831,5,2.1.01.02.001973,-1
45832,5,2.1.01.02.001611,-1
45833,5,2.1.01.02.000827,-1
45834,5,2.1.01.02.000867,-1
45835,5,2.1.01.02.000663,-1
45836,5,2.1.01.02.001106,-1
45837,5,2.1.01.02.001084,-1
45838,5,2.1.01.02.001146,-1
45839,5,2.1.01.02.001332,-1
45840,5,2.1.01.02.001399,-1
45841,5,2.1.01.02.000355,-1
45842,5,2.1.01.02.001160,-1
45843,5,2.1.01.02.000936,-1
45844,5,2.1.01.02.000980,-1
45845,5,2.1.01.02.001627,-1
45846,5,2.1.01.02.001643,-1
45847,5,2.1.01.02.001746,-1
45848,5,2.1.01.02.001657,-1
45849,5,2.1.01.02.001565,-1
45850,5,2.1.01.02.001788,-1
45851,5,2.1.01.02.001737,-1
45852,5,2.1.01.02.001059,-1
45853,5,2.1.01.02.001684,-1
45854,5,2.1.01.02.001736,-1
45855,5,2.1.01.02.000122,-1
45856,5,2.1.01.02.000580,-1
45857,5,2.1.01.02.001960,-1
45858,5,2.1.01.02.001642,-1
45859,5,2.1.01.02.001382,-1
45860,5,2.1.01.02.001999,-1
45861,5,2.1.01.02.002062,-1
45862,5,2.1.01.02.001906,-1
45863,5,2.1.01.02.001000,-1
45864,5,2.1.01.02.000896,-1
45865,5,2.1.01.02.000643,-1
45866,5,2.1.01.02.000222,-1
45867,5,2.1.01.02.001190,-1
45868,5,2.1.01.02.001315,-1
45869,5,2.1.01.02.001260,-1
45870,5,2.1.01.02.001401,-1
45871,5,2.1.01.02.001362,-1
45872,5,2.1.01.02.001344,-1
45873,5,2.1.01.02.001461,-1
45874,5,2.1.01.02.001575,-1
45875,5,2.1.01.02.001913,-1
45876,5,2.1.01.02.001633,-1
45877,5,2.1.01.02.001862,-1
45878,5,2.1.01.02.001896,-1
45879,5,2.1.01.02.001962,-1
45880,5,2.1.01.02.001756,-1
45881,5,2.1.01.02.002064,-1
45882,5,2.1.01.02.001620,-1
45883,5,2.1.01.02.001944,-1
45884,5,2.1.01.02.001198,-1
45885,5,2.1.01.02.001032,-1
45886,5,2.1.01.02.000224,-1
45887,5,2.1.01.02.000397,-1
45888,5,2.1.01.02.000024,-1
45889,5,2.1.01.02.001265,-1
45890,5,2.1.01.02.001061,-1
45891,5,2.1.01.02.001317,-1
45892,5,2.1.01.02.000613,-1
45893,5,2.1.01.02.001420,-1
45894,5,2.1.01.02.001226,-1
45895,5,2.1.01.02.001391,-1
