MES,ID_EMPRESA,ID_CONTA_CONTABIL,BP_TECWAY
01/2024,7,2.1.01.02.000404,0.0
01/2024,7,2.1.01.02.000430,-7.84627
01/2024,7,2.1.01.02.000455,0.0
01/2024,7,2.1.01.02.000457,0.0
01/2024,7,2.1.01.02.000473,-4.41355
01/2024,7,2.1.01.02.000553,0.0
01/2024,7,2.1.01.02.000643,0.0
01/2024,7,2.1.01.02.000648,-0.022
01/2024,7,2.1.01.02.000727,0.0
01/2024,7,2.1.01.02.000780,0.0
01/2024,7,2.1.01.02.000803,0.0
01/2024,7,2.1.01.02.000834,0.0
01/2024,7,2.1.01.02.000990,0.0
01/2024,7,2.1.01.02.001050,0.0
01/2024,7,2.1.01.02.001051,-0.14025
01/2024,7,2.1.01.02.001059,0.0
01/2024,7,2.1.01.02.001074,0.0
01/2024,7,2.1.01.02.001130,0.0
01/2024,7,2.1.01.02.001167,-0.28
01/2024,7,2.1.01.02.001170,0.0
01/2024,7,2.1.01.02.001174,0.0
01/2024,7,2.1.01.02.001207,-0.2
01/2024,7,2.1.01.02.001226,0.0
01/2024,7,2.1.01.02.001233,0.0
01/2024,7,2.1.01.02.001253,0.0
01/2024,7,2.1.01.02.001266,0.0
01/2024,7,2.1.01.02.001277,0.0
01/2024,7,2.1.01.02.001289,0.0
01/2024,7,2.1.01.02.001290,-0.0
01/2024,7,2.1.01.02.001325,0.0
01/2024,7,2.1.01.02.001326,0.0
01/2024,7,2.1.01.02.001345,0.0
01/2024,7,2.1.01.02.001469,-0.36
01/2024,7,2.1.01.02.001662,0.0
01/2024,7,2.1.01.02.001663,-0.2
01/2024,7,2.1.01.02.001709,0.0
01/2024,7,2.1.01.02.001718,0.0
01/2024,7,2.1.01.02.001740,0.0
01/2024,7,2.1.01.02.001741,0.0
01/2024,7,2.1.01.02.001742,0.0
01/2024,7,2.1.01.02.001743,0.0
01/2024,7,2.1.01.02.001744,0.0
01/2024,7,2.1.01.02.001745,0.0
01/2024,7,2.1.01.02.001746,0.0
01/2024,7,2.1.01.02.001747,0.0
01/2024,7,2.1.01.02.001748,0.0
01/2024,7,2.1.01.02.001749,0.0
01/2024,7,2.1.01.02.001750,0.0
01/2024,7,2.1.01.02.001751,0.0
01/2024,7,2.1.01.02.001752,0.0
01/2024,7,2.1.01.02.001753,0.0
01/2024,7,2.1.01.02.001766,0.0
01/2024,7,2.1.01.02.001773,0.0
01/2024,7,2.1.01.02.001780,0.0
01/2024,7,2.1.01.02.001781,0.0
01/2024,7,2.1.01.02.001820,0.0
01/2024,7,2.1.01.02.001821,0.0
01/2024,7,2.1.01.02.001822,0.0
01/2024,7,2.1.01.02.001823,0.0
01/2024,7,2.1.01.02.001847,0.0
01/2024,7,2.1.01.02.001861,0.0
01/2024,7,2.1.01.02.001870,0.0
01/2024,7,2.1.01.02.001909,0.0
01/2024,7,2.1.01.03.000014,-2944.0
01/2024,7,2.1.01.04.000003,0.0
01/2024,7,2.1.01.04.000007,-15.60648
01/2024,7,2.1.01.04.000008,-1.64805
01/2024,7,2.1.01.04.000010,-0.01985
01/2024,7,2.1.01.04.000012,0.0
01/2024,7,2.1.01.04.000014,0.0
01/2024,7,2.1.01.04.000017,-12.52
01/2024,7,2.1.01.06.000002,28.52429
01/2024,7,2.1.01.06.000021,-331.83762
01/2024,7,2.1.01.08.000001,-0.9735
01/2024,7,2.1.01.08.000002,-4.484
01/2024,7,2.1.01.08.000006,-335.18189
01/2024,7,2.1.01.08.000007,-132.48699
01/2024,7,2.1.01.10.000005,0.0
01/2024,7,2.1.01.10.000009,-0.07266
01/2024,7,2.1.01.10.000013,-0.0166
01/2024,7,2.1.01.11.000004,0.0
01/2024,7,2.1.01.11.000005,0.0
01/2024,7,2.1.01.11.000006,0.0
01/2024,7,2.1.01.11.000007,0.0
01/2024,7,2.1.01.11.000008,0.0
01/2024,7,2.1.01.12.000005,0.0
01/2024,7,2.1.01.12.000015,-64.10628
01/2024,7,2.1.01.12.000016,0.0
01/2024,7,2.1.02.01.000004,-44.69332
01/2024,7,2.2.01.02.000009,0.0
01/2024,7,2.2.01.02.000011,0.0
01/2024,7,2.3.01.01.000001,-600.0
01/2024,7,2.3.03.01.000007,73.5863
01/2024,7,2.3.04.01.000004,0.0
01/2024,7,2.3.04.01.000006,-194.79399
01/2024,7,2.3.04.01.000008,753.63774
01/2024,7,2.3.04.01.000010,-397.36426
01/2024,7,2.3.04.01.000011,-686.99572
01/2024,7,3.1.01.01.000005,-773.46643
01/2024,7,3.1.02.01.000001,0.0
01/2024,7,3.2.01.01.000003,-7.0
01/2024,7,3.2.01.02.000002,-0.81002
01/2024,7,3.2.01.02.000003,0.0
01/2024,7,4.1.02.01.000001,19.91289
01/2024,7,4.1.02.01.000003,0.8249
01/2024,7,4.1.02.01.000008,-1.97084
01/2024,7,4.1.02.01.000009,1.97084
01/2024,7,4.1.02.01.000010,3.6
01/2024,7,4.1.02.02.000001,5.47992
01/2024,7,4.1.02.02.000002,1.64808
